"observation_id","label","bootstrap_mean","deviation","percentile"
"obs-0096","resample-0096",21.034375,0.943750000000001,0.78
"obs-0097","resample-0097",18.38125,-1.709375,0.0925
"obs-0098","resample-0098",19.55,-0.540624999999999,0.2525
"obs-0099","resample-0099",19.640625,-0.449999999999999,0.3075
"obs-0100","resample-0100",20.246875,0.15625,0.5225
"obs-0101","resample-0101",19.66875,-0.421875,0.3325
"obs-0102","resample-0102",21.76875,1.678125,0.9425
"obs-0103","resample-0103",22.365625,2.275,0.9825
"obs-0104","resample-0104",22.290625,2.2,0.9725
"obs-0105","resample-0105",20.06875,-0.0218750000000014,0.4475
"obs-0106","resample-0106",21.15,1.059375,0.8125
"obs-0107","resample-0107",20.825,0.734375,0.7425
"obs-0108","resample-0108",21.428125,1.3375,0.8975
"obs-0109","resample-0109",20.821875,0.731249999999999,0.7375
"obs-0110","resample-0110",17.78125,-2.309375,0.0175
"obs-0111","resample-0111",19.621875,-0.46875,0.3025
"obs-0112","resample-0112",21.390625,1.3,0.8775
"obs-0113","resample-0113",21.28125,1.190625,0.85
"obs-0114","resample-0114",19.759375,-0.331250000000001,0.3525
"obs-0115","resample-0115",20.021875,-0.0687500000000014,0.4225
"obs-0116","resample-0116",21.521875,1.43125,0.9075
"obs-0117","resample-0117",20.9125,0.821875000000002,0.7575
"obs-0118","resample-0118",21.978125,1.8875,0.9575
"obs-0119","resample-0119",20.025,-0.0656250000000007,0.4275
"obs-0120","resample-0120",20.2875,0.196875000000002,0.5375
"obs-0121","resample-0121",19.746875,-0.34375,0.3475
"obs-0122","resample-0122",19.584375,-0.506249999999998,0.2675
"obs-0123","resample-0123",20.4,0.309374999999999,0.5675
"obs-0124","resample-0124",21.43125,1.340625,0.9025
"obs-0125","resample-0125",20.459375,0.368750000000002,0.5925
"obs-0126","resample-0126",19.615625,-0.474999999999998,0.2975
"obs-0127","resample-0127",20.925,0.834375000000001,0.7625
"obs-0128","resample-0128",21.365625,1.275,0.8675
"obs-0129","resample-0129",21.28125,1.190625,0.85
"obs-0130","resample-0130",18.20625,-1.884375,0.0675
"obs-0131","resample-0131",21.590625,1.5,0.9225
"obs-0132","resample-0132",20.25625,0.165624999999999,0.5275
"obs-0133","resample-0133",21.775,1.684375,0.9475
"obs-0134","resample-0134",21.29375,1.203125,0.8575
"obs-0135","resample-0135",20.44375,0.353125000000002,0.5825
"obs-0136","resample-0136",21.034375,0.943750000000001,0.78
"obs-0137","resample-0137",21.8375,1.746875,0.9525
"obs-0138","resample-0138",21.2375,1.146875,0.83
"obs-0139","resample-0139",21.1875,1.096875,0.8225
"obs-0140","resample-0140",18.3,-1.790625,0.0825
"obs-0141","resample-0141",20.74375,0.653124999999999,0.6825
"obs-0142","resample-0142",20.790625,0.699999999999999,0.7275
"obs-0143","resample-0143",19.365625,-0.724999999999998,0.2425
"obs-0144","resample-0144",20.56875,0.478124999999999,0.6275
"obs-0145","resample-0145",19.1625,-0.928124999999998,0.2025
"obs-0146","resample-0146",20.75625,0.665624999999999,0.6975
"obs-0147","resample-0147",20.328125,0.237500000000001,0.5425
"obs-0148","resample-0148",20.675,0.584375000000001,0.6575
"obs-0149","resample-0149",21.396875,1.30625,0.8875
"obs-0150","resample-0150",19.09375,-0.996874999999999,0.1825
"obs-0151","resample-0151",21.70625,1.615625,0.9325
"obs-0152","resample-0152",21.328125,1.2375,0.8625
"obs-0153","resample-0153",21.134375,1.04375,0.8075
"obs-0154","resample-0154",20.425,0.334375000000001,0.5775
"obs-0155","resample-0155",19.60625,-0.484375,0.2775
"obs-0156","resample-0156",18.690625,-1.4,0.1225
"obs-0157","resample-0157",19.034375,-1.05625,0.1625
"obs-0158","resample-0158",20.565625,0.475000000000001,0.6225
"obs-0159","resample-0159",20.834375,0.743750000000002,0.7475
"obs-0160","resample-0160",20.63125,0.540625000000002,0.6425
"obs-0161","resample-0161",19.846875,-0.243749999999999,0.3675
"obs-0162","resample-0162",22.21875,2.128125,0.9675
"obs-0163","resample-0163",19.40625,-0.684374999999999,0.2475
"obs-0164","resample-0164",20.965625,0.875,0.7725
"obs-0165","resample-0165",19.8125,-0.278124999999999,0.36
"obs-0166","resample-0166",19.128125,-0.962499999999999,0.1925
"obs-0167","resample-0167",20.5,0.409375000000001,0.6075
"obs-0168","resample-0168",20.05625,-0.0343750000000007,0.4375
"obs-0169","resample-0169",18.31875,-1.771875,0.0875
"obs-0170","resample-0170",19.05625,-1.034375,0.1725
"obs-0171","resample-0171",20.75625,0.665625000000002,0.7025
"obs-0172","resample-0172",20.2375,0.146875000000001,0.51
"obs-0173","resample-0173",20.671875,0.581250000000001,0.6525
"obs-0174","resample-0174",19.60625,-0.484375,0.2775
"obs-0175","resample-0175",21.165625,1.075,0.8175
"obs-0176","resample-0176",17.853125,-2.2375,0.0325
"obs-0177","resample-0177",19.696875,-0.393750000000001,0.3375
"obs-0178","resample-0178",19.94375,-0.146874999999998,0.4025
"obs-0179","resample-0179",19.665625,-0.425000000000001,0.3275
"obs-0180","resample-0180",19.9875,-0.103124999999999,0.4175
"obs-0181","resample-0181",18.64375,-1.446875,0.1175
"obs-0182","resample-0182",17.928125,-2.1625,0.0425
"obs-0183","resample-0183",19.653125,-0.4375,0.3175
"obs-0184","resample-0184",21.0375,0.946874999999999,0.7875
"obs-0185","resample-0185",20.85625,0.765625,0.7525
"obs-0186","resample-0186",20.3875,0.296875,0.5575
"obs-0187","resample-0187",20.75,0.659375000000001,0.6875
"obs-0188","resample-0188",21.55625,1.465625,0.9175
"obs-0189","resample-0189",20.690625,0.600000000000001,0.665
"obs-0190","resample-0190",21.540625,1.45,0.9125
"obs-0191","resample-0191",18.890625,-1.2,0.14
"obs-0192","resample-0192",18.215625,-1.875,0.0725
"obs-0193","resample-0193",19.584375,-0.506250000000001,0.2625
"obs-0194","resample-0194",19.259375,-0.831250000000001,0.2275
"obs-0195","resample-0195",20.14375,0.0531250000000014,0.4825
"obs-0196","resample-0196",19.6125,-0.478124999999999,0.2925
"obs-0197","resample-0197",22.36875,2.278125,0.9875
"obs-0198","resample-0198",20.775,0.684374999999999,0.715
"obs-0199","resample-0199",18.39375,-1.696875,0.0975
"obs-0200","resample-0200",20.809375,0.71875,0.7325
