"observation_id","label","age","hours"
"src-c19f20d61ba8-00000036","src-c19f20d61ba8-00000036",67,33.9
"src-c19f20d61ba8-00000037","src-c19f20d61ba8-00000037",19,34.7
"src-c19f20d61ba8-00000038","src-c19f20d61ba8-00000038",62,32.4
"src-c19f20d61ba8-00000039","src-c19f20d61ba8-00000039",46,41.8
"src-c19f20d61ba8-00000040","src-c19f20d61ba8-00000040",58,40.1
"src-c19f20d61ba8-00000041","src-c19f20d61ba8-00000041",61,22.9
"src-c19f20d61ba8-00000042","src-c19f20d61ba8-00000042",22,39.5
"src-c19f20d61ba8-00000043","src-c19f20d61ba8-00000043",26,43.4
"src-c19f20d61ba8-00000044","src-c19f20d61ba8-00000044",62,38.2
"src-c19f20d61ba8-00000045","src-c19f20d61ba8-00000045",35,43.5
"src-c19f20d61ba8-00000046","src-c19f20d61ba8-00000046",58,46.7
"src-c19f20d61ba8-00000047","src-c19f20d61ba8-00000047",65,47.4
"src-c19f20d61ba8-00000048","src-c19f20d61ba8-00000048",24,23.9
"src-c19f20d61ba8-00000049","src-c19f20d61ba8-00000049",44,37.7
"src-c19f20d61ba8-00000050","src-c19f20d61ba8-00000050",67,31.8
"src-c19f20d61ba8-00000051","src-c19f20d61ba8-00000051",54,39.5
"src-c19f20d61ba8-00000052","src-c19f20d61ba8-00000052",22,36.7
"src-c19f20d61ba8-00000053","src-c19f20d61ba8-00000053",60,35.9
"src-c19f20d61ba8-00000054","src-c19f20d61ba8-00000054",46,48.7
"src-c19f20d61ba8-00000055","src-c19f20d61ba8-00000055",21,24.5
"src-c19f20d61ba8-00000056","src-c19f20d61ba8-00000056",48,45.6
"src-c19f20d61ba8-00000057","src-c19f20d61ba8-00000057",34,39.3
"src-c19f20d61ba8-00000058","src-c19f20d61ba8-00000058",25,37.7
"src-c19f20d61ba8-00000059","src-c19f20d61ba8-00000059",26,48.1
"src-c19f20d61ba8-00000060","src-c19f20d61ba8-00000060",20,40.5
"src-c19f20d61ba8-00000061","src-c19f20d61ba8-00000061",46,43.8
"src-c19f20d61ba8-00000062","src-c19f20d61ba8-00000062",64,41.1
"src-c19f20d61ba8-00000063","src-c19f20d61ba8-00000063",40,43.8
"src-c19f20d61ba8-00000064","src-c19f20d61ba8-00000064",69,35.6
"src-c19f20d61ba8-00000065","src-c19f20d61ba8-00000065",58,49.1
"src-c19f20d61ba8-00000066","src-c19f20d61ba8-00000066",55,50
"src-c19f20d61ba8-00000067","src-c19f20d61ba8-00000067",53,43.1
"src-c19f20d61ba8-00000068","src-c19f20d61ba8-00000068",42,31.5
"src-c19f20d61ba8-00000069","src-c19f20d61ba8-00000069",48,26.8
"src-c19f20d61ba8-00000070","src-c19f20d61ba8-00000070",32,42.3
"src-c19f20d61ba8-00000071","src-c19f20d61ba8-00000071",18,40.8
"src-c19f20d61ba8-00000072","src-c19f20d61ba8-00000072",41,39.3
"src-c19f20d61ba8-00000073","src-c19f20d61ba8-00000073",61,38.3
"src-c19f20d61ba8-00000074","src-c19f20d61ba8-00000074",23,34.8
"src-c19f20d61ba8-00000075","src-c19f20d61ba8-00000075",62,45.7
"src-c19f20d61ba8-00000076","src-c19f20d61ba8-00000076",21,40.7
"src-c19f20d61ba8-00000077","src-c19f20d61ba8-00000077",46,59.6
"src-c19f20d61ba8-00000078","src-c19f20d61ba8-00000078",25,45.3
"src-c19f20d61ba8-00000079","src-c19f20d61ba8-00000079",55,44.2
"src-c19f20d61ba8-00000080","src-c19f20d61ba8-00000080",33,34
"src-c19f20d61ba8-00000081","src-c19f20d61ba8-00000081",23,37.7
"src-c19f20d61ba8-00000082","src-c19f20d61ba8-00000082",66,33.4
"src-c19f20d61ba8-00000083","src-c19f20d61ba8-00000083",68,27.2
"src-c19f20d61ba8-00000084","src-c19f20d61ba8-00000084",40,31.3
"src-c19f20d61ba8-00000085","src-c19f20d61ba8-00000085",18,36.7
"src-c19f20d61ba8-00000086","src-c19f20d61ba8-00000086",34,30.8
"src-c19f20d61ba8-00000087","src-c19f20d61ba8-00000087",37,44.9
"src-c19f20d61ba8-00000088","src-c19f20d61ba8-00000088",55,46.7
"src-c19f20d61ba8-00000089","src-c19f20d61ba8-00000089",54,33.5
"src-c19f20d61ba8-00000090","src-c19f20d61ba8-00000090",66,34.6
"src-c19f20d61ba8-00000091","src-c19f20d61ba8-00000091",52,25.6
"src-c19f20d61ba8-00000092","src-c19f20d61ba8-00000092",37,29.2
"src-c19f20d61ba8-00000093","src-c19f20d61ba8-00000093",32,24.7
"src-c19f20d61ba8-00000094","src-c19f20d61ba8-00000094",66,36.2
"src-c19f20d61ba8-00000095","src-c19f20d61ba8-00000095",57,49.5
"src-c19f20d61ba8-00000096","src-c19f20d61ba8-00000096",38,35.2
"src-c19f20d61ba8-00000097","src-c19f20d61ba8-00000097",70,46.1
"src-c19f20d61ba8-00000098","src-c19f20d61ba8-00000098",53,36.8
"src-c19f20d61ba8-00000099","src-c19f20d61ba8-00000099",38,36.7
"src-c19f20d61ba8-00000100","src-c19f20d61ba8-00000100",62,41
"src-c19f20d61ba8-00000101","src-c19f20d61ba8-00000101",50,24.5
"src-c19f20d61ba8-00000102","src-c19f20d61ba8-00000102",43,44
"src-c19f20d61ba8-00000103","src-c19f20d61ba8-00000103",61,26.6
"src-c19f20d61ba8-00000104","src-c19f20d61ba8-00000104",20,28.2
"src-c19f20d61ba8-00000105","src-c19f20d61ba8-00000105",47,38.9
"src-c19f20d61ba8-00000106","src-c19f20d61ba8-00000106",38,41.5
"src-c19f20d61ba8-00000107","src-c19f20d61ba8-00000107",36,42.3
"src-c19f20d61ba8-00000108","src-c19f20d61ba8-00000108",62,31.2
"src-c19f20d61ba8-00000109","src-c19f20d61ba8-00000109",50,25.6
"src-c19f20d61ba8-00000110","src-c19f20d61ba8-00000110",44,44.5
"src-c19f20d61ba8-00000111","src-c19f20d61ba8-00000111",55,39.3
"src-c19f20d61ba8-00000112","src-c19f20d61ba8-00000112",67,34.4
"src-c19f20d61ba8-00000113","src-c19f20d61ba8-00000113",69,36.8
"src-c19f20d61ba8-00000114","src-c19f20d61ba8-00000114",35,26.9
"src-c19f20d61ba8-00000115","src-c19f20d61ba8-00000115",50,55.3
"src-c19f20d61ba8-00000116","src-c19f20d61ba8-00000116",37,51.3
"src-c19f20d61ba8-00000117","src-c19f20d61ba8-00000117",59,41.4
"src-c19f20d61ba8-00000118","src-c19f20d61ba8-00000118",45,43.2
"src-c19f20d61ba8-00000119","src-c19f20d61ba8-00000119",38,31.5
"src-c19f20d61ba8-00000120","src-c19f20d61ba8-00000120",51,41.5
"src-c19f20d61ba8-00000121","src-c19f20d61ba8-00000121",21,47.7
"src-c19f20d61ba8-00000122","src-c19f20d61ba8-00000122",54,39.4
"src-c19f20d61ba8-00000123","src-c19f20d61ba8-00000123",32,41.9
"src-c19f20d61ba8-00000124","src-c19f20d61ba8-00000124",50,41.2
"src-c19f20d61ba8-00000125","src-c19f20d61ba8-00000125",34,41
"src-c19f20d61ba8-00000126","src-c19f20d61ba8-00000126",26,20.1
"src-c19f20d61ba8-00000127","src-c19f20d61ba8-00000127",41,39.2
"src-c19f20d61ba8-00000128","src-c19f20d61ba8-00000128",42,42.7
"src-c19f20d61ba8-00000129","src-c19f20d61ba8-00000129",30,35.9
"src-c19f20d61ba8-00000130","src-c19f20d61ba8-00000130",61,49.1
"src-c19f20d61ba8-00000131","src-c19f20d61ba8-00000131",68,52.4
"src-c19f20d61ba8-00000132","src-c19f20d61ba8-00000132",38,38.1
"src-c19f20d61ba8-00000133","src-c19f20d61ba8-00000133",35,48.3
"src-c19f20d61ba8-00000134","src-c19f20d61ba8-00000134",61,44.5
"src-c19f20d61ba8-00000135","src-c19f20d61ba8-00000135",45,41.8
"src-c19f20d61ba8-00000136","src-c19f20d61ba8-00000136",58,39.7
"src-c19f20d61ba8-00000137","src-c19f20d61ba8-00000137",52,42.4
"src-c19f20d61ba8-00000138","src-c19f20d61ba8-00000138",51,39.1
"src-c19f20d61ba8-00000139","src-c19f20d61ba8-00000139",66,50.7
"src-c19f20d61ba8-00000140","src-c19f20d61ba8-00000140",51,39.1
"src-c19f20d61ba8-00000141","src-c19f20d61ba8-00000141",59,35.8
"src-c19f20d61ba8-00000142","src-c19f20d61ba8-00000142",30,42.8
"src-c19f20d61ba8-00000143","src-c19f20d61ba8-00000143",27,18.7
"src-c19f20d61ba8-00000144","src-c19f20d61ba8-00000144",46,24.4
"src-c19f20d61ba8-00000145","src-c19f20d61ba8-00000145",41,39.8
"src-c19f20d61ba8-00000146","src-c19f20d61ba8-00000146",31,55.1
"src-c19f20d61ba8-00000147","src-c19f20d61ba8-00000147",47,36
"src-c19f20d61ba8-00000148","src-c19f20d61ba8-00000148",70,31.6
"src-c19f20d61ba8-00000149","src-c19f20d61ba8-00000149",55,37.2
"src-c19f20d61ba8-00000150","src-c19f20d61ba8-00000150",36,50
"src-c19f20d61ba8-00000151","src-c19f20d61ba8-00000151",61,45.1
"src-c19f20d61ba8-00000152","src-c19f20d61ba8-00000152",49,46.6
"src-c19f20d61ba8-00000153","src-c19f20d61ba8-00000153",61,38.6
"src-c19f20d61ba8-00000154","src-c19f20d61ba8-00000154",38,45
"src-c19f20d61ba8-00000155","src-c19f20d61ba8-00000155",19,49.4
"src-c19f20d61ba8-00000156","src-c19f20d61ba8-00000156",70,58.8
"src-c19f20d61ba8-00000157","src-c19f20d61ba8-00000157",21,30.8
"src-c19f20d61ba8-00000158","src-c19f20d61ba8-00000158",48,36.7
"src-c19f20d61ba8-00000159","src-c19f20d61ba8-00000159",70,38
"src-c19f20d61ba8-00000160","src-c19f20d61ba8-00000160",51,35
"src-c19f20d61ba8-00000161","src-c19f20d61ba8-00000161",23,30.1
"src-c19f20d61ba8-00000162","src-c19f20d61ba8-00000162",64,36.6
"src-c19f20d61ba8-00000163","src-c19f20d61ba8-00000163",40,35
"src-c19f20d61ba8-00000164","src-c19f20d61ba8-00000164",34,43.4
"src-c19f20d61ba8-00000165","src-c19f20d61ba8-00000165",46,31
"src-c19f20d61ba8-00000166","src-c19f20d61ba8-00000166",61,35.5
"src-c19f20d61ba8-00000167","src-c19f20d61ba8-00000167",21,38.8
"src-c19f20d61ba8-00000168","src-c19f20d61ba8-00000168",53,32.5
"src-c19f20d61ba8-00000169","src-c19f20d61ba8-00000169",41,38.7
"src-c19f20d61ba8-00000170","src-c19f20d61ba8-00000170",52,42.5
"src-c19f20d61ba8-00000171","src-c19f20d61ba8-00000171",28,37.8
"src-c19f20d61ba8-00000172","src-c19f20d61ba8-00000172",39,43.7
"src-c19f20d61ba8-00000173","src-c19f20d61ba8-00000173",65,29.6
"src-c19f20d61ba8-00000174","src-c19f20d61ba8-00000174",23,50
"src-c19f20d61ba8-00000175","src-c19f20d61ba8-00000175",39,35.7
"src-c19f20d61ba8-00000176","src-c19f20d61ba8-00000176",55,42.9
"src-c19f20d61ba8-00000177","src-c19f20d61ba8-00000177",50,38.4
"src-c19f20d61ba8-00000178","src-c19f20d61ba8-00000178",46,40.4
"src-c19f20d61ba8-00000179","src-c19f20d61ba8-00000179",21,47.1
"src-c19f20d61ba8-00000180","src-c19f20d61ba8-00000180",36,32.6
"src-c19f20d61ba8-00000181","src-c19f20d61ba8-00000181",62,35.4
"src-c19f20d61ba8-00000182","src-c19f20d61ba8-00000182",20,35
"src-c19f20d61ba8-00000183","src-c19f20d61ba8-00000183",22,29.8
"src-c19f20d61ba8-00000184","src-c19f20d61ba8-00000184",23,44.6
"src-c19f20d61ba8-00000185","src-c19f20d61ba8-00000185",36,26.2
"src-c19f20d61ba8-00000186","src-c19f20d61ba8-00000186",32,42.1
"src-c19f20d61ba8-00000187","src-c19f20d61ba8-00000187",27,31
"src-c19f20d61ba8-00000188","src-c19f20d61ba8-00000188",23,31
"src-c19f20d61ba8-00000189","src-c19f20d61ba8-00000189",60,39.3
"src-c19f20d61ba8-00000190","src-c19f20d61ba8-00000190",68,51.9
"src-c19f20d61ba8-00000191","src-c19f20d61ba8-00000191",53,47.9
"src-c19f20d61ba8-00000192","src-c19f20d61ba8-00000192",35,31
"src-c19f20d61ba8-00000193","src-c19f20d61ba8-00000193",49,40.4
"src-c19f20d61ba8-00000194","src-c19f20d61ba8-00000194",33,39.4
"src-c19f20d61ba8-00000195","src-c19f20d61ba8-00000195",35,27.4
"src-c19f20d61ba8-00000196","src-c19f20d61ba8-00000196",53,33.4
"src-c19f20d61ba8-00000197","src-c19f20d61ba8-00000197",47,34.9
"src-c19f20d61ba8-00000198","src-c19f20d61ba8-00000198",36,50.5
"src-c19f20d61ba8-00000199","src-c19f20d61ba8-00000199",23,34.4
"src-c19f20d61ba8-00000200","src-c19f20d61ba8-00000200",61,47.6
"src-c19f20d61ba8-00000201","src-c19f20d61ba8-00000201",46,32
"src-c19f20d61ba8-00000202","src-c19f20d61ba8-00000202",18,50.9
"src-c19f20d61ba8-00000203","src-c19f20d61ba8-00000203",54,30.7
"src-c19f20d61ba8-00000204","src-c19f20d61ba8-00000204",23,33.6
"src-c19f20d61ba8-00000205","src-c19f20d61ba8-00000205",21,43.7
"src-c19f20d61ba8-00000206","src-c19f20d61ba8-00000206",63,42.8
"src-c19f20d61ba8-00000207","src-c19f20d61ba8-00000207",62,47.6
"src-c19f20d61ba8-00000208","src-c19f20d61ba8-00000208",47,23.9
"src-c19f20d61ba8-00000209","src-c19f20d61ba8-00000209",19,46.7
"src-c19f20d61ba8-00000210","src-c19f20d61ba8-00000210",67,35.1
"src-c19f20d61ba8-00000211","src-c19f20d61ba8-00000211",65,37.7
"src-c19f20d61ba8-00000212","src-c19f20d61ba8-00000212",31,30.1
"src-c19f20d61ba8-00000213","src-c19f20d61ba8-00000213",67,29.5
"src-c19f20d61ba8-00000214","src-c19f20d61ba8-00000214",64,43.7
"src-c19f20d61ba8-00000215","src-c19f20d61ba8-00000215",57,40.9
"src-c19f20d61ba8-00000216","src-c19f20d61ba8-00000216",66,35.8
"src-c19f20d61ba8-00000217","src-c19f20d61ba8-00000217",60,35.4
"src-c19f20d61ba8-00000218","src-c19f20d61ba8-00000218",27,45.6
"src-c19f20d61ba8-00000219","src-c19f20d61ba8-00000219",65,50.3
"src-c19f20d61ba8-00000220","src-c19f20d61ba8-00000220",43,49.6
"src-c19f20d61ba8-00000221","src-c19f20d61ba8-00000221",24,46.2
"src-c19f20d61ba8-00000222","src-c19f20d61ba8-00000222",40,46.8
"src-c19f20d61ba8-00000223","src-c19f20d61ba8-00000223",62,43.5
"src-c19f20d61ba8-00000224","src-c19f20d61ba8-00000224",62,45.5
"src-c19f20d61ba8-00000225","src-c19f20d61ba8-00000225",25,27.7
"src-c19f20d61ba8-00000226","src-c19f20d61ba8-00000226",61,41.6
"src-c19f20d61ba8-00000227","src-c19f20d61ba8-00000227",43,33.3
"src-c19f20d61ba8-00000228","src-c19f20d61ba8-00000228",32,35.2
"src-c19f20d61ba8-00000229","src-c19f20d61ba8-00000229",32,54.7
"src-c19f20d61ba8-00000230","src-c19f20d61ba8-00000230",59,33
"src-c19f20d61ba8-00000231","src-c19f20d61ba8-00000231",25,29.7
"src-c19f20d61ba8-00000232","src-c19f20d61ba8-00000232",59,37.8
"src-c19f20d61ba8-00000233","src-c19f20d61ba8-00000233",45,41.2
"src-c19f20d61ba8-00000234","src-c19f20d61ba8-00000234",41,50.7
"src-c19f20d61ba8-00000235","src-c19f20d61ba8-00000235",25,45.8
"src-c19f20d61ba8-00000236","src-c19f20d61ba8-00000236",33,40.8
"src-c19f20d61ba8-00000237","src-c19f20d61ba8-00000237",18,48.2
"src-c19f20d61ba8-00000238","src-c19f20d61ba8-00000238",69,48.1
"src-c19f20d61ba8-00000239","src-c19f20d61ba8-00000239",22,40.7
"src-c19f20d61ba8-00000240","src-c19f20d61ba8-00000240",59,41.4
"src-c19f20d61ba8-00000241","src-c19f20d61ba8-00000241",60,29.2
"src-c19f20d61ba8-00000242","src-c19f20d61ba8-00000242",38,24.1
"src-c19f20d61ba8-00000243","src-c19f20d61ba8-00000243",18,38.8
"src-c19f20d61ba8-00000244","src-c19f20d61ba8-00000244",67,43.8
"src-c19f20d61ba8-00000245","src-c19f20d61ba8-00000245",39,41.2
"src-c19f20d61ba8-00000246","src-c19f20d61ba8-00000246",20,39.9
"src-c19f20d61ba8-00000247","src-c19f20d61ba8-00000247",70,35.7
"src-c19f20d61ba8-00000248","src-c19f20d61ba8-00000248",52,36.1
"src-c19f20d61ba8-00000249","src-c19f20d61ba8-00000249",19,40.5
"src-c19f20d61ba8-00000250","src-c19f20d61ba8-00000250",30,34.1
"src-c19f20d61ba8-00000251","src-c19f20d61ba8-00000251",29,43.1
"src-c19f20d61ba8-00000252","src-c19f20d61ba8-00000252",24,52.8
"src-c19f20d61ba8-00000253","src-c19f20d61ba8-00000253",30,32.3
"src-c19f20d61ba8-00000254","src-c19f20d61ba8-00000254",32,40.7
"src-c19f20d61ba8-00000255","src-c19f20d61ba8-00000255",18,40.6
"src-c19f20d61ba8-00000256","src-c19f20d61ba8-00000256",42,34.6
"src-c19f20d61ba8-00000257","src-c19f20d61ba8-00000257",63,43.6
"src-c19f20d61ba8-00000258","src-c19f20d61ba8-00000258",43,21.7
"src-c19f20d61ba8-00000259","src-c19f20d61ba8-00000259",21,37.2
"src-c19f20d61ba8-00000260","src-c19f20d61ba8-00000260",52,34.6
"src-c19f20d61ba8-00000261","src-c19f20d61ba8-00000261",33,34
"src-c19f20d61ba8-00000262","src-c19f20d61ba8-00000262",56,20.7
"src-c19f20d61ba8-00000263","src-c19f20d61ba8-00000263",54,35.1
"src-c19f20d61ba8-00000264","src-c19f20d61ba8-00000264",26,43.7
"src-c19f20d61ba8-00000265","src-c19f20d61ba8-00000265",38,36.6
"src-c19f20d61ba8-00000266","src-c19f20d61ba8-00000266",23,38.8
"src-c19f20d61ba8-00000267","src-c19f20d61ba8-00000267",35,41.2
"src-c19f20d61ba8-00000268","src-c19f20d61ba8-00000268",60,33.9
"src-c19f20d61ba8-00000269","src-c19f20d61ba8-00000269",36,29.7
"src-c19f20d61ba8-00000270","src-c19f20d61ba8-00000270",41,49.8
"src-c19f20d61ba8-00000271","src-c19f20d61ba8-00000271",53,36.1
"src-c19f20d61ba8-00000272","src-c19f20d61ba8-00000272",26,31.8
"src-c19f20d61ba8-00000273","src-c19f20d61ba8-00000273",62,28.1
"src-c19f20d61ba8-00000274","src-c19f20d61ba8-00000274",68,50.7
"src-c19f20d61ba8-00000275","src-c19f20d61ba8-00000275",57,26.7
"src-c19f20d61ba8-00000276","src-c19f20d61ba8-00000276",19,35.2
"src-c19f20d61ba8-00000277","src-c19f20d61ba8-00000277",19,46.8
"src-c19f20d61ba8-00000278","src-c19f20d61ba8-00000278",29,48.4
"src-c19f20d61ba8-00000279","src-c19f20d61ba8-00000279",54,39.5
"src-c19f20d61ba8-00000280","src-c19f20d61ba8-00000280",20,52.4
"src-c19f20d61ba8-00000281","src-c19f20d61ba8-00000281",38,36.8
"src-c19f20d61ba8-00000282","src-c19f20d61ba8-00000282",45,39.2
"src-c19f20d61ba8-00000283","src-c19f20d61ba8-00000283",69,28.3
"src-c19f20d61ba8-00000284","src-c19f20d61ba8-00000284",29,47.7
"src-c19f20d61ba8-00000285","src-c19f20d61ba8-00000285",69,50.9
"src-c19f20d61ba8-00000286","src-c19f20d61ba8-00000286",49,34.4
"src-c19f20d61ba8-00000287","src-c19f20d61ba8-00000287",36,47.4
"src-c19f20d61ba8-00000288","src-c19f20d61ba8-00000288",61,51.6
"src-c19f20d61ba8-00000289","src-c19f20d61ba8-00000289",47,47.1
"src-c19f20d61ba8-00000290","src-c19f20d61ba8-00000290",69,34.1
"src-c19f20d61ba8-00000291","src-c19f20d61ba8-00000291",27,37.6
"src-c19f20d61ba8-00000292","src-c19f20d61ba8-00000292",42,34.6
"src-c19f20d61ba8-00000293","src-c19f20d61ba8-00000293",18,20.4
"src-c19f20d61ba8-00000294","src-c19f20d61ba8-00000294",40,22.2
"src-c19f20d61ba8-00000295","src-c19f20d61ba8-00000295",31,55.3
"src-c19f20d61ba8-00000296","src-c19f20d61ba8-00000296",70,33.9
"src-c19f20d61ba8-00000297","src-c19f20d61ba8-00000297",38,42.7
"src-c19f20d61ba8-00000298","src-c19f20d61ba8-00000298",33,29.5
"src-c19f20d61ba8-00000299","src-c19f20d61ba8-00000299",43,48.1
"src-c19f20d61ba8-00000300","src-c19f20d61ba8-00000300",43,31.2
