"age","hours","education","group","outcome"
50,38.4,"college","C","reference"
46,40.4,"graduate","A","reference"
21,47.1,"graduate","B","event"
36,32.6,"graduate","C","reference"
62,35.4,"secondary","A","event"
20,35,"college","B","event"
22,29.8,"secondary","C","reference"
23,44.6,"college","A","event"
36,26.2,"secondary","B","reference"
32,42.1,"college","C","reference"
27,31,"college","A","event"
23,31,"college","B","reference"
60,39.3,"secondary","C","reference"
68,51.9,"college","A","event"
53,47.9,"secondary","B","reference"
35,31,"secondary","C","reference"
49,40.4,"graduate","A","event"
33,39.4,"graduate","B","reference"
35,27.4,"graduate","C","event"
53,33.4,"college","A","reference"
47,34.9,"college","B","event"
36,50.5,"college","C","reference"
23,34.4,"secondary","A","event"
61,47.6,"graduate","B","event"
46,32,"college","C","reference"
18,50.9,"college","A","event"
54,30.7,"college","B","reference"
23,33.6,"secondary","C","event"
21,43.7,"college","A","reference"
63,42.8,"college","B","reference"
62,47.6,"secondary","C","event"
47,23.9,"secondary","A","reference"
19,46.7,"college","B","event"
67,35.1,"secondary","C","reference"
65,37.7,"college","A","event"
31,30.1,"secondary","B","reference"
67,29.5,"college","C","event"
64,43.7,"college","A","reference"
57,40.9,"secondary","B","reference"
66,35.8,"graduate","C","event"
60,35.4,"secondary","A","reference"
27,45.6,"college","B","reference"
65,50.3,"college","C","reference"
43,49.6,"secondary","A","reference"
24,46.2,"college","B","event"
40,46.8,"college","C","event"
62,43.5,"college","A","event"
62,45.5,"secondary","B","event"
25,27.7,"secondary","C","reference"
61,41.6,"secondary","A","event"
43,33.3,"secondary","B","reference"
32,35.2,"secondary","C","event"
32,54.7,"graduate","A","reference"
59,33,"secondary","B","reference"
25,29.7,"college","C","reference"
59,37.8,"graduate","A","reference"
45,41.2,"secondary","B","reference"
41,50.7,"college","C","reference"
25,45.8,"secondary","A","event"
33,40.8,"college","B","reference"
18,48.2,"college","C","event"
69,48.1,"college","A","event"
22,40.7,"college","B","event"
59,41.4,"secondary","C","event"
60,29.2,"secondary","A","reference"
38,24.1,"secondary","B","event"
18,38.8,"college","C","reference"
67,43.8,"secondary","A","reference"
39,41.2,"secondary","B","event"
20,39.9,"secondary","C","reference"
70,35.7,"secondary","A","event"
52,36.1,"secondary","B","reference"
19,40.5,"graduate","C","reference"
30,34.1,"college","A","reference"
29,43.1,"secondary","B","reference"
24,52.8,"college","C","reference"
30,32.3,"secondary","A","reference"
32,40.7,"secondary","B","reference"
18,40.6,"secondary","C","reference"
42,34.6,"graduate","A","reference"
63,43.6,"secondary","B","reference"
43,21.7,"secondary","C","reference"
21,37.2,"graduate","A","reference"
52,34.6,"secondary","B","reference"
33,34,"college","C","reference"
56,20.7,"secondary","A","reference"
54,35.1,"graduate","B","event"
26,43.7,"college","C","reference"
38,36.6,"college","A","reference"
23,38.8,"secondary","B","reference"
35,41.2,"secondary","C","event"
60,33.9,"college","A","reference"
36,29.7,"college","B","event"
41,49.8,"college","C","reference"
53,36.1,"secondary","A","reference"
26,31.8,"graduate","B","reference"
62,28.1,"graduate","C","event"
68,50.7,"secondary","A","event"
57,26.7,"secondary","B","reference"
19,35.2,"secondary","C","reference"
19,46.8,"secondary","A","reference"
29,48.4,"college","B","reference"
54,39.5,"secondary","C","event"
20,52.4,"college","A","reference"
38,36.8,"secondary","B","reference"
45,39.2,"graduate","C","reference"
69,28.3,"college","A","reference"
29,47.7,"college","B","event"
69,50.9,"graduate","C","event"
49,34.4,"college","A","reference"
36,47.4,"secondary","B","reference"
61,51.6,"college","C","event"
47,47.1,"secondary","A","reference"
69,34.1,"secondary","B","event"
27,37.6,"college","C","event"
42,34.6,"secondary","A","reference"
18,20.4,"graduate","B","reference"
40,22.2,"secondary","C","reference"
31,55.3,"secondary","A","reference"
70,33.9,"college","B","event"
38,42.7,"college","C","event"
33,29.5,"college","A","event"
43,48.1,"graduate","B","event"
43,31.2,"secondary","C","reference"
